PID,OwnerID,OfficeID,HouseNo,Locality,Area,City,Pin,Size,Type,BHK,Year Built,Description
50000141,10000107,100005,M-58,Saket,Dwarka,New Delhi,110001,751,APARTMENT,4,2020,"Premium 4 BHK APARTMENT in Dwarka, New Delhi. Built in 2020 with 751 sq ft area."
50000142,10000047,100005,N-71,Dadar,Andheri,Mumbai,400001,2900,FLAT,1,2015,"Premium 1 BHK FLAT in Andheri, Mumbai. Built in 2015 with 2900 sq ft area."
50000143,10000144,100002,O-84,Bada,City Center,Gwalior,474001,2918,APARTMENT,4,2025,"Premium 4 BHK APARTMENT in City Center, Gwalior. Built in 2025 with 2918 sq ft area."
50000144,10000147,100002,P-97,Rohini,Connaught Place,New Delhi,110001,1994,FLAT,3,2024,"Premium 3 BHK FLAT in Connaught Place, New Delhi. Built in 2024 with 1994 sq ft area."
50000145,10000001,100002,Q-110,Dispur,Paltan Bazaar,Guwahati,781001,2379,APARTMENT,1,2021,"Premium 1 BHK APARTMENT in Paltan Bazaar, Guwahati. Built in 2021 with 2379 sq ft area."
50000146,10000093,100005,R-123,Fancy Bazaar,Paltan Bazaar,Guwahati,781001,1335,APARTMENT,1,2024,"Premium 1 BHK APARTMENT in Paltan Bazaar, Guwahati. Built in 2024 with 1335 sq ft area."
50000147,10000141,100005,S-136,Rohini,Connaught Place,New Delhi,110001,1916,APARTMENT,5,2019,"Premium 5 BHK APARTMENT in Connaught Place, New Delhi. Built in 2019 with 1916 sq ft area."
50000148,10000066,100003,T-149,Karol Bagh,Vasant Kunj,New Delhi,110001,1765,FLAT,6,2020,"Premium 6 BHK FLAT in Vasant Kunj, New Delhi. Built in 2020 with 1765 sq ft area."
50000149,10000025,100005,U-162,Dispur,Laxmi Ganj,Guwahati,781001,1766,APARTMENT,1,2019,"Premium 1 BHK APARTMENT in Laxmi Ganj, Guwahati. Built in 2019 with 1766 sq ft area."
50000150,10000010,100002,V-175,Fancy Bazaar,Uzan Bazaar,Guwahati,781001,2697,APARTMENT,6,2015,"Premium 6 BHK APARTMENT in Uzan Bazaar, Guwahati. Built in 2015 with 2697 sq ft area."
50000151,10000148,100004,W-188,Dispur,Uzan Bazaar,Guwahati,781001,1967,FLAT,2,2023,"Premium 2 BHK FLAT in Uzan Bazaar, Guwahati. Built in 2023 with 1967 sq ft area."
50000152,10000043,100003,X-201,Worli,Andheri,Mumbai,400001,695,FLAT,3,2021,"Premium 3 BHK FLAT in Andheri, Mumbai. Built in 2021 with 695 sq ft area."
50000153,10000124,100003,Y-214,Phool Bagh,City Center,Gwalior,474001,997,APARTMENT,5,2017,"Premium 5 BHK APARTMENT in City Center, Gwalior. Built in 2017 with 997 sq ft area."
50000154,10000040,100006,Z-227,Rohini,Connaught Place,New Delhi,110001,1514,FLAT,6,2015,"Premium 6 BHK FLAT in Connaught Place, New Delhi. Built in 2015 with 1514 sq ft area."
50000155,10000105,100006,A-240,Phool Bagh,Lashkar,Gwalior,474001,1347,FLAT,2,2020,"Premium 2 BHK FLAT in Lashkar, Gwalior. Built in 2020 with 1347 sq ft area."
50000156,10000017,100005,B-253,Mahanagar,Gomti Nagar,Lucknow,226001,2025,FLAT,5,2019,"Premium 5 BHK FLAT in Gomti Nagar, Lucknow. Built in 2019 with 2025 sq ft area."
50000157,10000139,100006,C-266,Aminabad,Gomti Nagar,Lucknow,226001,1886,APARTMENT,1,2014,"Premium 1 BHK APARTMENT in Gomti Nagar, Lucknow. Built in 2014 with 1886 sq ft area."
50000158,10000125,100006,D-279,Charbagh,Indira Nagar,Lucknow,226001,1980,FLAT,1,2020,"Premium 1 BHK FLAT in Indira Nagar, Lucknow. Built in 2020 with 1980 sq ft area."
50000159,10000087,100006,E-292,Rohini,Vasant Kunj,New Delhi,110001,2424,APARTMENT,5,2024,"Premium 5 BHK APARTMENT in Vasant Kunj, New Delhi. Built in 2024 with 2424 sq ft area."
50000160,10000017,100002,F-305,Saket,Connaught Place,New Delhi,110001,1957,FLAT,2,2021,"Premium 2 BHK FLAT in Connaught Place, New Delhi. Built in 2021 with 1957 sq ft area."
50000161,10000143,100004,G-318,Saket,Dwarka,New Delhi,110001,744,FLAT,1,2017,"Premium 1 BHK FLAT in Dwarka, New Delhi. Built in 2017 with 744 sq ft area."
50000162,10000130,100003,H-331,Ganeshguri,Uzan Bazaar,Guwahati,781001,1471,FLAT,2,2020,"Premium 2 BHK FLAT in Uzan Bazaar, Guwahati. Built in 2020 with 1471 sq ft area."
50000163,10000122,100005,I-344,Hauz Khas,Dwarka,New Delhi,110001,2239,APARTMENT,3,2022,"Premium 3 BHK APARTMENT in Dwarka, New Delhi. Built in 2022 with 2239 sq ft area."
50000164,10000059,100006,J-357,Dabra,Morar,Gwalior,474001,1534,APARTMENT,4,2016,"Premium 4 BHK APARTMENT in Morar, Gwalior. Built in 2016 with 1534 sq ft area."
50000165,10000123,100002,K-370,Malad,Andheri,Mumbai,400001,1244,FLAT,6,2023,"Premium 6 BHK FLAT in Andheri, Mumbai. Built in 2023 with 1244 sq ft area."
50000166,10000095,100002,L-383,Aminabad,Gomti Nagar,Lucknow,226001,1252,APARTMENT,1,2021,"Premium 1 BHK APARTMENT in Gomti Nagar, Lucknow. Built in 2021 with 1252 sq ft area."
50000167,10000072,100006,M-396,Thatipur,Morar,Gwalior,474001,1670,FLAT,4,2025,"Premium 4 BHK FLAT in Morar, Gwalior. Built in 2025 with 1670 sq ft area."
50000168,10000038,100005,N-409,Maligaon,Laxmi Ganj,Guwahati,781001,2840,FLAT,3,2017,"Premium 3 BHK FLAT in Laxmi Ganj, Guwahati. Built in 2017 with 2840 sq ft area."
50000169,10000094,100002,O-422,Fancy Bazaar,Paltan Bazaar,Guwahati,781001,2609,FLAT,1,2019,"Premium 1 BHK FLAT in Paltan Bazaar, Guwahati. Built in 2019 with 2609 sq ft area."
50000170,10000001,100005,P-435,Dadar,Bandra,Mumbai,400001,2560,FLAT,6,2015,"Premium 6 BHK FLAT in Bandra, Mumbai. Built in 2015 with 2560 sq ft area."
50000171,10000091,100004,Q-448,Juhu,Bandra,Mumbai,400001,2536,FLAT,5,2022,"Premium 5 BHK FLAT in Bandra, Mumbai. Built in 2022 with 2536 sq ft area."
50000172,10000145,100002,R-461,Karol Bagh,Connaught Place,New Delhi,110001,1487,APARTMENT,6,2014,"Premium 6 BHK APARTMENT in Connaught Place, New Delhi. Built in 2014 with 1487 sq ft area."
50000173,10000051,100006,S-474,Beltola,Paltan Bazaar,Guwahati,781001,2083,FLAT,3,2015,"Premium 3 BHK FLAT in Paltan Bazaar, Guwahati. Built in 2015 with 2083 sq ft area."
50000174,10000005,100003,T-487,Pinto Park,Lashkar,Gwalior,474001,2684,FLAT,2,2023,"Premium 2 BHK FLAT in Lashkar, Gwalior. Built in 2023 with 2684 sq ft area."
50000175,10000148,100005,U-500,Dadar,Bandra,Mumbai,400001,2639,FLAT,5,2014,"Premium 5 BHK FLAT in Bandra, Mumbai. Built in 2014 with 2639 sq ft area."
50000176,10000119,100004,V-513,Dadar,Bandra,Mumbai,400001,556,APARTMENT,6,2014,"Premium 6 BHK APARTMENT in Bandra, Mumbai. Built in 2014 with 556 sq ft area."
50000177,10000143,100004,W-526,Charbagh,Hazratganj,Lucknow,226001,784,APARTMENT,4,2021,"Premium 4 BHK APARTMENT in Hazratganj, Lucknow. Built in 2021 with 784 sq ft area."
50000178,10000010,100003,X-539,Mahanagar,Hazratganj,Lucknow,226001,1186,FLAT,4,2015,"Premium 4 BHK FLAT in Hazratganj, Lucknow. Built in 2015 with 1186 sq ft area."
50000179,10000080,100002,Y-552,Aminabad,Hazratganj,Lucknow,226001,1667,APARTMENT,3,2018,"Premium 3 BHK APARTMENT in Hazratganj, Lucknow. Built in 2018 with 1667 sq ft area."
50000180,10000032,100003,Z-565,Fancy Bazaar,Laxmi Ganj,Guwahati,781001,2163,APARTMENT,3,2016,"Premium 3 BHK APARTMENT in Laxmi Ganj, Guwahati. Built in 2016 with 2163 sq ft area."
50000181,10000064,100006,A-578,Powai,Bandra,Mumbai,400001,842,FLAT,6,2022,"Premium 6 BHK FLAT in Bandra, Mumbai. Built in 2022 with 842 sq ft area."
50000182,10000085,100003,B-591,Charbagh,Gomti Nagar,Lucknow,226001,1107,FLAT,3,2020,"Premium 3 BHK FLAT in Gomti Nagar, Lucknow. Built in 2020 with 1107 sq ft area."
50000183,10000037,100002,C-604,Phool Bagh,City Center,Gwalior,474001,999,FLAT,6,2021,"Premium 6 BHK FLAT in City Center, Gwalior. Built in 2021 with 999 sq ft area."
50000184,10000095,100003,D-617,Thatipur,City Center,Gwalior,474001,1785,FLAT,5,2021,"Premium 5 BHK FLAT in City Center, Gwalior. Built in 2021 with 1785 sq ft area."
50000185,10000149,100002,E-630,Rohini,Connaught Place,New Delhi,110001,1377,APARTMENT,6,2023,"Premium 6 BHK APARTMENT in Connaught Place, New Delhi. Built in 2023 with 1377 sq ft area."
50000186,10000101,100004,F-643,Maligaon,Uzan Bazaar,Guwahati,781001,1276,APARTMENT,4,2016,"Premium 4 BHK APARTMENT in Uzan Bazaar, Guwahati. Built in 2016 with 1276 sq ft area."
50000187,10000025,100003,G-656,Thatipur,Lashkar,Gwalior,474001,2951,FLAT,2,2022,"Premium 2 BHK FLAT in Lashkar, Gwalior. Built in 2022 with 2951 sq ft area."
50000188,10000143,100002,H-669,Karol Bagh,Vasant Kunj,New Delhi,110001,2317,APARTMENT,3,2018,"Premium 3 BHK APARTMENT in Vasant Kunj, New Delhi. Built in 2018 with 2317 sq ft area."
50000189,10000099,100004,I-682,Rajouri Garden,Vasant Kunj,New Delhi,110001,1714,APARTMENT,3,2016,"Premium 3 BHK APARTMENT in Vasant Kunj, New Delhi. Built in 2016 with 1714 sq ft area."
50000190,10000072,100002,J-695,Hauz Khas,Vasant Kunj,New Delhi,110001,1373,APARTMENT,2,2015,"Premium 2 BHK APARTMENT in Vasant Kunj, New Delhi. Built in 2015 with 1373 sq ft area."
50000191,10000001,100006,K-708,Charbagh,Gomti Nagar,Lucknow,226001,2140,FLAT,5,2017,"Premium 5 BHK FLAT in Gomti Nagar, Lucknow. Built in 2017 with 2140 sq ft area."
50000192,10000038,100005,L-721,Charbagh,Indira Nagar,Lucknow,226001,2006,APARTMENT,4,2023,"Premium 4 BHK APARTMENT in Indira Nagar, Lucknow. Built in 2023 with 2006 sq ft area."
50000193,10000059,100002,M-734,Bada,Morar,Gwalior,474001,1933,APARTMENT,1,2018,"Premium 1 BHK APARTMENT in Morar, Gwalior. Built in 2018 with 1933 sq ft area."
50000194,10000006,100005,N-747,Vikas Nagar,Hazratganj,Lucknow,226001,933,APARTMENT,5,2020,"Premium 5 BHK APARTMENT in Hazratganj, Lucknow. Built in 2020 with 933 sq ft area."
50000195,10000084,100003,O-760,Maligaon,Paltan Bazaar,Guwahati,781001,1167,APARTMENT,5,2023,"Premium 5 BHK APARTMENT in Paltan Bazaar, Guwahati. Built in 2023 with 1167 sq ft area."
50000196,10000075,100002,P-773,Rohini,Dwarka,New Delhi,110001,582,FLAT,1,2022,"Premium 1 BHK FLAT in Dwarka, New Delhi. Built in 2022 with 582 sq ft area."
50000197,10000082,100003,Q-786,Beltola,Laxmi Ganj,Guwahati,781001,1168,APARTMENT,1,2025,"Premium 1 BHK APARTMENT in Laxmi Ganj, Guwahati. Built in 2025 with 1168 sq ft area."
50000198,10000147,100003,R-799,Karol Bagh,Vasant Kunj,New Delhi,110001,2255,FLAT,3,2019,"Premium 3 BHK FLAT in Vasant Kunj, New Delhi. Built in 2019 with 2255 sq ft area."
50000199,10000134,100002,S-812,Ganeshguri,Laxmi Ganj,Guwahati,781001,1990,APARTMENT,6,2020,"Premium 6 BHK APARTMENT in Laxmi Ganj, Guwahati. Built in 2020 with 1990 sq ft area."
50000200,10000112,100004,T-825,Bada,City Center,Gwalior,474001,847,APARTMENT,1,2024,"Premium 1 BHK APARTMENT in City Center, Gwalior. Built in 2024 with 847 sq ft area."
