id,bhk,area,city,description,house_no,locality,pin,size,type,year_built,office_id,owner_id
50000142,1,Andheri,Mumbai,"Premium 1 BHK FLAT in Andheri, Mumbai. Built in 2015 with 2900 sq ft area.",N-71,Dadar,400001,2900,FLAT,2015,100005,10000076
50000143,4,City Center,Gwalior,"Premium 4 BHK APARTMENT in City Center, Gwalior. Built in 2025 with 2918 sq ft area.",O-84,Bada,474001,2918,APARTMENT,2025,100002,10000144
50000144,3,Connaught Place,New Delhi,"Premium 3 BHK FLAT in Connaught Place, New Delhi. Built in 2024 with 1994 sq ft area.",P-97,Rohini,110001,1994,FLAT,2024,100002,10000147
50000145,1,Paltan Bazaar,Guwahati,"Premium 1 BHK APARTMENT in Paltan Bazaar, Guwahati. Built in 2021 with 2379 sq ft area.",Q-110,Dispur,781001,2379,APARTMENT,2021,100002,10000037
50000146,1,Paltan Bazaar,Guwahati,"Premium 1 BHK APARTMENT in Paltan Bazaar, Guwahati. Built in 2024 with 1335 sq ft area.",R-123,Fancy Bazaar,781001,1335,APARTMENT,2024,100005,10000093
50000147,5,Connaught Place,New Delhi,"Premium 5 BHK APARTMENT in Connaught Place, New Delhi. Built in 2019 with 1916 sq ft area.",S-136,Rohini,110001,1916,APARTMENT,2019,100005,10000141
50000148,6,Vasant Kunj,New Delhi,"Premium 6 BHK FLAT in Vasant Kunj, New Delhi. Built in 2020 with 1765 sq ft area.",T-149,Karol Bagh,110001,1765,FLAT,2020,100003,10000042
50000149,1,Laxmi Ganj,Guwahati,"Premium 1 BHK APARTMENT in Laxmi Ganj, Guwahati. Built in 2019 with 1766 sq ft area.",U-162,Dispur,781001,1766,APARTMENT,2019,100005,10000025
50000150,6,Uzan Bazaar,Guwahati,"Premium 6 BHK APARTMENT in Uzan Bazaar, Guwahati. Built in 2015 with 2697 sq ft area.",V-175,Fancy Bazaar,781001,2697,APARTMENT,2015,100002,10000010
50000151,2,Uzan Bazaar,Guwahati,"Premium 2 BHK FLAT in Uzan Bazaar, Guwahati. Built in 2023 with 1967 sq ft area.",W-188,Dispur,781001,1967,FLAT,2023,100004,10000002
50000152,3,Andheri,Mumbai,"Premium 3 BHK FLAT in Andheri, Mumbai. Built in 2021 with 695 sq ft area.",X-201,Worli,400001,695,FLAT,2021,100003,10000043
50000153,5,City Center,Gwalior,"Premium 5 BHK APARTMENT in City Center, Gwalior. Built in 2017 with 997 sq ft area.",Y-214,Phool Bagh,474001,997,APARTMENT,2017,100003,10000124
50000154,6,Connaught Place,New Delhi,"Premium 6 BHK FLAT in Connaught Place, New Delhi. Built in 2015 with 1514 sq ft area.",Z-227,Rohini,110001,1514,FLAT,2015,100006,10000014
50000155,2,Lashkar,Gwalior,"Premium 2 BHK FLAT in Lashkar, Gwalior. Built in 2020 with 1347 sq ft area.",A-240,Phool Bagh,474001,1347,FLAT,2020,100006,10000100
50000156,5,Gomti Nagar,Lucknow,"Premium 5 BHK FLAT in Gomti Nagar, Lucknow. Built in 2019 with 2025 sq ft area.",B-253,Mahanagar,226001,2025,FLAT,2019,100005,10000017
50000157,1,Gomti Nagar,Lucknow,"Premium 1 BHK APARTMENT in Gomti Nagar, Lucknow. Built in 2014 with 1886 sq ft area.",C-266,Aminabad,226001,1886,APARTMENT,2014,100006,10000139
50000158,1,Indira Nagar,Lucknow,"Premium 1 BHK FLAT in Indira Nagar, Lucknow. Built in 2020 with 1980 sq ft area.",D-279,Charbagh,226001,1980,FLAT,2020,100006,10000125
50000159,5,Vasant Kunj,New Delhi,"Premium 5 BHK APARTMENT in Vasant Kunj, New Delhi. Built in 2024 with 2424 sq ft area.",E-292,Rohini,110001,2424,APARTMENT,2024,100006,10000087
50000160,2,Connaught Place,New Delhi,"Premium 2 BHK FLAT in Connaught Place, New Delhi. Built in 2021 with 1957 sq ft area.",F-305,Saket,110001,1957,FLAT,2021,100002,10000017
50000161,1,Dwarka,New Delhi,"Premium 1 BHK FLAT in Dwarka, New Delhi. Built in 2017 with 744 sq ft area.",G-318,Saket,110001,744,FLAT,2017,100004,10000025
50000162,2,Uzan Bazaar,Guwahati,"Premium 2 BHK FLAT in Uzan Bazaar, Guwahati. Built in 2020 with 1471 sq ft area.",H-331,Ganeshguri,781001,1471,FLAT,2020,100003,10000130
50000163,3,Dwarka,New Delhi,"Premium 3 BHK APARTMENT in Dwarka, New Delhi. Built in 2022 with 2239 sq ft area.",I-344,Hauz Khas,110001,2239,APARTMENT,2022,100005,10000122
50000164,4,Morar,Gwalior,"Premium 4 BHK APARTMENT in Morar, Gwalior. Built in 2016 with 1534 sq ft area.",J-357,Dabra,474001,1534,APARTMENT,2016,100006,10000059
50000165,6,Andheri,Mumbai,"Premium 6 BHK FLAT in Andheri, Mumbai. Built in 2023 with 1244 sq ft area.",K-370,Malad,400001,1244,FLAT,2023,100002,10000123
50000166,1,Gomti Nagar,Lucknow,"Premium 1 BHK APARTMENT in Gomti Nagar, Lucknow. Built in 2021 with 1252 sq ft area.",L-383,Aminabad,226001,1252,APARTMENT,2021,100002,10000137
50000167,4,Morar,Gwalior,"Premium 4 BHK FLAT in Morar, Gwalior. Built in 2025 with 1670 sq ft area.",M-396,Thatipur,474001,1670,FLAT,2025,100006,10000072
50000168,3,Laxmi Ganj,Guwahati,"Premium 3 BHK FLAT in Laxmi Ganj, Guwahati. Built in 2017 with 2840 sq ft area.",N-409,Maligaon,781001,2840,FLAT,2017,100005,10000038
50000169,1,Paltan Bazaar,Guwahati,"Premium 1 BHK FLAT in Paltan Bazaar, Guwahati. Built in 2019 with 2609 sq ft area.",O-422,Fancy Bazaar,781001,2609,FLAT,2019,100002,10000094
50000170,6,Bandra,Mumbai,"Premium 6 BHK FLAT in Bandra, Mumbai. Built in 2015 with 2560 sq ft area.",P-435,Dadar,400001,2560,FLAT,2015,100005,10000001
50000171,5,Bandra,Mumbai,"Premium 5 BHK FLAT in Bandra, Mumbai. Built in 2022 with 2536 sq ft area.",Q-448,Juhu,400001,2536,FLAT,2022,100004,10000091
50000172,6,Connaught Place,New Delhi,"Premium 6 BHK APARTMENT in Connaught Place, New Delhi. Built in 2014 with 1487 sq ft area.",R-461,Karol Bagh,110001,1487,APARTMENT,2014,100002,10000027
50000173,3,Paltan Bazaar,Guwahati,"Premium 3 BHK FLAT in Paltan Bazaar, Guwahati. Built in 2015 with 2083 sq ft area.",S-474,Beltola,781001,2083,FLAT,2015,100006,10000051
50000174,2,Lashkar,Gwalior,"Premium 2 BHK FLAT in Lashkar, Gwalior. Built in 2023 with 2684 sq ft area.",T-487,Pinto Park,474001,2684,FLAT,2023,100003,10000068
50000175,5,Bandra,Mumbai,"Premium 5 BHK FLAT in Bandra, Mumbai. Built in 2014 with 2639 sq ft area.",U-500,Dadar,400001,2639,FLAT,2014,100005,10000148
50000176,6,Bandra,Mumbai,"Premium 6 BHK APARTMENT in Bandra, Mumbai. Built in 2014 with 556 sq ft area.",V-513,Dadar,400001,556,APARTMENT,2014,100004,10000119
50000177,4,Hazratganj,Lucknow,"Premium 4 BHK APARTMENT in Hazratganj, Lucknow. Built in 2021 with 784 sq ft area.",W-526,Charbagh,226001,784,APARTMENT,2021,100004,10000124
50000178,4,Hazratganj,Lucknow,"Premium 4 BHK FLAT in Hazratganj, Lucknow. Built in 2015 with 1186 sq ft area.",X-539,Mahanagar,226001,1186,FLAT,2015,100003,10000013
50000179,3,Hazratganj,Lucknow,"Premium 3 BHK APARTMENT in Hazratganj, Lucknow. Built in 2018 with 1667 sq ft area.",Y-552,Aminabad,226001,1667,APARTMENT,2018,100002,10000079
50000180,3,Laxmi Ganj,Guwahati,"Premium 3 BHK APARTMENT in Laxmi Ganj, Guwahati. Built in 2016 with 2163 sq ft area.",Z-565,Fancy Bazaar,781001,2163,APARTMENT,2016,100003,10000032
50000181,6,Bandra,Mumbai,"Premium 6 BHK FLAT in Bandra, Mumbai. Built in 2022 with 842 sq ft area.",A-578,Powai,400001,842,FLAT,2022,100006,10000064
50000182,3,Gomti Nagar,Lucknow,"Premium 3 BHK FLAT in Gomti Nagar, Lucknow. Built in 2020 with 1107 sq ft area.",B-591,Charbagh,226001,1107,FLAT,2020,100003,10000085
50000183,6,City Center,Gwalior,"Premium 6 BHK FLAT in City Center, Gwalior. Built in 2021 with 999 sq ft area.",C-604,Phool Bagh,474001,999,FLAT,2021,100002,10000105
50000184,5,City Center,Gwalior,"Premium 5 BHK FLAT in City Center, Gwalior. Built in 2021 with 1785 sq ft area.",D-617,Thatipur,474001,1785,FLAT,2021,100003,10000095
50000185,6,Connaught Place,New Delhi,"Premium 6 BHK APARTMENT in Connaught Place, New Delhi. Built in 2023 with 1377 sq ft area.",E-630,Rohini,110001,1377,APARTMENT,2023,100002,10000149
50000186,4,Uzan Bazaar,Guwahati,"Premium 4 BHK APARTMENT in Uzan Bazaar, Guwahati. Built in 2016 with 1276 sq ft area.",F-643,Maligaon,781001,1276,APARTMENT,2016,100004,10000101
50000187,2,Lashkar,Gwalior,"Premium 2 BHK FLAT in Lashkar, Gwalior. Built in 2022 with 2951 sq ft area.",G-656,Thatipur,474001,2951,FLAT,2022,100003,10000118
50000188,3,Vasant Kunj,New Delhi,"Premium 3 BHK APARTMENT in Vasant Kunj, New Delhi. Built in 2018 with 2317 sq ft area.",H-669,Karol Bagh,110001,2317,APARTMENT,2018,100002,10000143
50000189,3,Vasant Kunj,New Delhi,"Premium 3 BHK APARTMENT in Vasant Kunj, New Delhi. Built in 2016 with 1714 sq ft area.",I-682,Rajouri Garden,110001,1714,APARTMENT,2016,100004,10000099
50000190,2,Vasant Kunj,New Delhi,"Premium 2 BHK APARTMENT in Vasant Kunj, New Delhi. Built in 2015 with 1373 sq ft area.",J-695,Hauz Khas,110001,1373,APARTMENT,2015,100002,10000072
50000191,5,Gomti Nagar,Lucknow,"Premium 5 BHK FLAT in Gomti Nagar, Lucknow. Built in 2017 with 2140 sq ft area.",K-708,Charbagh,226001,2140,FLAT,2017,100006,10000001
50000192,4,Indira Nagar,Lucknow,"Premium 4 BHK APARTMENT in Indira Nagar, Lucknow. Built in 2023 with 2006 sq ft area.",L-721,Charbagh,226001,2006,APARTMENT,2023,100005,10000038
50000193,1,Morar,Gwalior,"Premium 1 BHK APARTMENT in Morar, Gwalior. Built in 2018 with 1933 sq ft area.",M-734,Bada,474001,1933,APARTMENT,2018,100002,10000059
50000194,5,Hazratganj,Lucknow,"Premium 5 BHK APARTMENT in Hazratganj, Lucknow. Built in 2020 with 933 sq ft area.",N-747,Vikas Nagar,226001,933,APARTMENT,2020,100005,10000006
50000195,5,Paltan Bazaar,Guwahati,"Premium 5 BHK APARTMENT in Paltan Bazaar, Guwahati. Built in 2023 with 1167 sq ft area.",O-760,Maligaon,781001,1167,APARTMENT,2023,100003,10000084
50000196,1,Dwarka,New Delhi,"Premium 1 BHK FLAT in Dwarka, New Delhi. Built in 2022 with 582 sq ft area.",P-773,Rohini,110001,582,FLAT,2022,100002,10000075
50000197,1,Laxmi Ganj,Guwahati,"Premium 1 BHK APARTMENT in Laxmi Ganj, Guwahati. Built in 2025 with 1168 sq ft area.",Q-786,Beltola,781001,1168,APARTMENT,2025,100003,10000082
50000198,3,Vasant Kunj,New Delhi,"Premium 3 BHK FLAT in Vasant Kunj, New Delhi. Built in 2019 with 2255 sq ft area.",R-799,Karol Bagh,110001,2255,FLAT,2019,100003,10000099
50000199,6,Laxmi Ganj,Guwahati,"Premium 6 BHK APARTMENT in Laxmi Ganj, Guwahati. Built in 2020 with 1990 sq ft area.",S-812,Ganeshguri,781001,1990,APARTMENT,2020,100002,10000050
50000200,1,City Center,Gwalior,"Premium 1 BHK APARTMENT in City Center, Gwalior. Built in 2024 with 847 sq ft area.",T-825,Bada,474001,847,APARTMENT,2024,100004,10000112
